VERMEG    ;V00       ;SODCI020  ;D:\MIGDATA\DEV\FICHIER\INTER\JFPEN991C.FPENDORS-COVERAGE.TXT ;000069274
VERMEG  ;V00     ;SODCS005;Lectures XFEEA2FO FEE_AMT_TO_FEE_AMT_ORIGIN                 ;00000000000005291209
VERMEG  ;V00     ;SODCI008;Ecritures FIFATFO                                           ;00000000000000001906
VERMEG  ;V00     ;SODCF021;Clé XFEEA2FO absente de XFINOPER                            ;00000000000000000000
VERMEG  ;V00     ;SODCF022;clé XFEEA2FO absente de FIFINOP2                            ;00000000000005289303
VERMEG  ;V00     ;SODCI010;Ecritures FIFATFO PACTI200                                  ;00000000000000000068
VERMEG  ;V00     ;SODCF030;Clé FIFATFO absente de XFEESTAC                             ;00000000000000001838
VERMEG  ;V00     ;SODCF031;Clé FIFATFO absente de XFEEAMT                              ;00000000000000000000
VERMEG  ;V00     ;SODCF029;FEE-TYPE-CODEID abs XGENFEET                                ;00000000000000000000
VERMEG  ;V00     ;SODCC001;Nombre enregistrements cible FEESTORE                       ;00000000000000000068
VERMEG  ;V00     ;SODCC002;Nombre enregistrements cible ACCNTACT                       ;00000000000000000009
VERMEG  ;V00     ;SODCC003;Nombre enregistrements cible CHARGACT                       ;00000000000000000029
VERMEG  ;V00     ;SODCC004;Nombre enregistrements cible PAYMTACT                       ;00000000000000000030
VERMEG  ;V00     ;SODCF032;ABSENT XFSTORAA ( FEE_STORE_ACCOUNT_ACTION )                ;00000000000000000059
VERMEG  ;V00     ;SODCF033;ABSENT-XFSTORCA ( FSTORE_CHARGE_ACTION )                    ;00000000000000000039
VERMEG  ;V00     ;SODCF034;ABSENT-XFSTORPA ( FSTORE_PAY_ACTION )                       ;00000000000000000038
VERMEG  ;V00     ;SODCA006;FEESTORE KO - impossible de creer                           ;00000000000000000000
VERMEG  ;V00     ;SODCS001;Clé XBILL-OID absente de XBILLCMP                           ;00000000000000400397
VERMEG  ;V00     ;SODCC005;Nombre enregistrements cible BILL                           ;00000000000000000014
VERMEG  ;V00     ;SODCC006;Nombre enregistrements cible BILLCOMP                       ;00000000000000000000
VERMEG  ;V00     ;SODCF058;BILL sans BILLCOMP                                          ;00000000000000000014
VERMEG  ;V00     ;SODCF045;plusieurs FIBILL pour EP-OID                                ;00000000000000000000
VERMEG  ;V00     ;SODCF001;Nombre avenants hors versements                             ;00000000000000035383
VERMEG  ;V00     ;SODCR002;Clé FP-EP-OID absente de FIBILL                             ;00000000000000000000
VERMEG  ;V00     ;SODCR013;FIBILL-XBILL-STATUS inconnu                                 ;00000000000000000000
VERMEG  ;V00     ;SODCA001;clé absente de XBILLRST                                     ;00000000000000000000
VERMEG  ;V00     ;SODCS006;Lectures XRISKCOV                                           ;00000000000000054687
VERMEG  ;V00     ;SODCI009;Ecritures SPPOLCLA FPPOLICY-AVEC-CLAIM Enrichis             ;00000000000000000014
VERMEG  ;V00     ;SODCF026;RISKCOV_OID absent de FPPOLICY                              ;00000000000000054673
VERMEG  ;V00     ;SODCC007;Nombre enregistrements cible CLAIM                          ;00000000000000000013
VERMEG  ;V00     ;SODCC008;Nombre enregistrements cible CLCOVDET                       ;00000000000000000014
VERMEG  ;V00     ;SODCF087;plusieurs CLAIM-COV-DET pour CLAIM                          ;00000000000000000001
VERMEG  ;V00     ;SODCC009;Nombre enregistrements cible CLAUSE                         ;00000000000000036463
VERMEG  ;V00     ;SODCF016;Plusieurs VCLAUSE / avenant                                 ;00000000000000001066
VERMEG  ;V00     ;SODCF094;Clé absente de VCLAUSE (PC-Light)                           ;00000000000000000000
VERMEG  ;V00     ;SODCA010;Clé EPC-OID absente de VCLAUSE                              ;00000000000000000000
VERMEG    ;V00       ;SODCF018  ;D:\MIGDATA\DEV\FICHIER\INTER\JCLBE175.FPENDORS-AVEC-EBS-CLAUSE-OID.TRI ;000001499
VERMEG  ;V00     ;SODCI036;Avenant avec EBS-CLAUSE-OID                                 ;00000000000000001499
VERMEG  ;V00     ;SODCI034;CLAUSE-BENEF(BE-LIEN)trouvé pour l'avenant                  ;00000000000000001405
VERMEG  ;V00     ;SODCI032;Plusieurs VBENEF / VCLAUSE                                  ;00000000000000001786
VERMEG  ;V00     ;SODCI033;Plusieurs VBENEF / avenant                                  ;00000000000000000009
VERMEG  ;V00     ;SODCI035;Plusieurs BE-LIEN pour l'avenant                            ;00000000000000001007
VERMEG  ;V00     ;SODCR008;Clé EPC-OID+EBS-BENEFICIARY-OID absente de VBENEF           ;00000000000000000626
VERMEG  ;V00     ;SODCR009;Clé EBS-CLAUSE-OID absente de VCLAUSE                       ;00000000000000000094
VERMEG  ;V00     ;SODCC010;Nombre enregistrements cible BENEF                          ;00000000000000001795
VERMEG  ;V00     ;SODCR007;BENEF-THIRD-PARTY absent VROLE                              ;00000000000000000000
VERMEG  ;V00     ;SODCC047; comptage par awk ;00000000000000464017
VERMEG  ;V00     ;SODCC047; comptage par awk ;00000000000005156600
VERMEG  ;V00     ;SODCI049;CUST-PAR pour FEE                                           ;00000000000002046697
VERMEG  ;V00     ;SODCI041;CUST-PAR pour PARAMTRS                                      ;00000000000000014653
VERMEG  ;V00     ;SODCI043;CUST-PAR pour QUESTION                                      ;00000000000000000040
VERMEG  ;V00     ;SODCI042;CUST-PAR pour RISK-COV                                      ;00000000000000063690
VERMEG  ;V00     ;SODCI047;CUST-PAR pour SERVICE                                       ;00000000000000034477
